Gender,Age,Overweight family,Eats high caloric,eats vegatables ,number meals per day,eats food betw meals,smokes,water intake,monitors calories,frequency of physical activity,daily time spent on tech,alc consumption,mode of transport,obesity level
1,20,1,1,2,4,2,2,3,2,3,3,1,4,1
2,21,1,1,2,3,2,2,3,2,4,2,2,4,2
1,20,2,1,2,3,2,2,2,2,4,2,2,4,2
1,22,2,1,2,1,1,2,2,2,1,1,2,4,2
1,22,1,1,2,3,2,2,2,2,1,3,2,1,2
2,21,1,1,2,3,3,2,1,2,2,2,1,4,2
2,21,1,1,1,3,3,2,2,2,1,2,1,4,3
1,23,1,1,1,3,4,2,2,2,1,3,3,4,3
1,23,1,1,2,3,4,2,2,2,1,2,3,1,4
1,30,1,1,1,3,1,1,2,1,1,1,3,1,5
1,23,1,2,2,3,1,2,3,2,1,2,2,4,2
2,23,1,1,2,3,4,2,2,2,1,3,1,4,3
2,22,1,2,3,3,1,2,3,1,3,2,2,4,1
2,24,1,2,2,3,2,2,3,1,2,1,1,4,2
1,19,1,2,2,3,2,2,3,2,3,2,2,3,2
1,24,1,1,2,3,3,2,3,2,1,2,3,4,3
2,23,1,2,3,3,2,2,3,1,3,1,1,4,1
2,24,1,2,2,3,1,2,2,2,2,1,1,4,1
2,24,1,1,2,3,2,2,3,2,1,1,1,4,3
2,23,1,1,2,3,2,2,3,2,1,2,1,4,4
1,23,1,2,2,3,2,2,2,2,1,1,2,4,2
2,19,2,2,3,3,2,2,2,1,1,1,1,4,2
1,30,1,1,2,3,3,2,2,2,1,1,2,4,3
1,23,1,1,2,3,4,2,2,2,1,2,1,4,4
2,19,2,2,3,3,1,2,3,1,3,1,1,5,1
1,25,1,1,2,3,3,2,2,2,1,2,2,4,3
1,23,1,2,2,3,2,2,2,2,1,1,1,4,2
1,21,1,1,2,1,3,2,3,2,2,1,1,4,2
1,19,1,1,2,3,2,2,2,2,1,1,1,4,3
2,22,1,1,2,3,3,2,2,1,2,1,1,1,2
2,29,1,1,3,3,2,2,1,2,3,2,3,1,3
2,25,2,2,3,4,4,2,1,2,3,1,1,4,5
2,20,1,2,3,3,4,2,2,1,1,2,3,4,2
1,55,1,2,3,4,3,2,3,1,4,1,3,5,3
2,20,2,2,3,3,4,2,2,2,2,1,1,5,2
2,24,2,1,3,3,2,2,2,2,3,1,1,4,2
1,26,1,2,3,1,3,2,2,2,3,1,3,4,2
2,23,1,2,2,3,2,2,2,2,4,1,2,4,2
2,21,2,2,3,1,3,2,1,2,1,1,2,4,1
2,21,2,2,3,1,3,2,1,2,1,1,2,4,1
1,23,2,2,2,3,2,2,2,2,4,2,3,4,2
2,21,2,1,3,1,2,2,1,2,1,1,2,4,2
1,22,1,2,2,3,3,2,2,2,1,1,1,4,2
2,21,2,1,2,4,3,2,2,1,3,1,2,1,2
2,22,1,1,3,4,3,2,2,2,2,1,2,4,2
2,38,1,1,2,3,2,2,2,2,1,1,2,1,4
2,25,2,1,2,1,2,2,2,2,3,1,2,4,2
2,25,2,1,2,1,2,2,2,2,3,1,2,4,2
1,22,1,1,2,3,4,2,1,2,1,2,2,1,3
1,22,1,2,2,3,2,2,3,2,4,3,1,5,4
2,21,1,1,3,1,2,2,3,2,3,2,1,4,4
1,21,1,1,3,3,2,2,2,2,1,2,2,4,2
2,22,1,1,2,1,2,2,1,2,1,1,1,4,2
2,18,1,1,2,4,3,2,2,2,2,1,2,4,2
2,22,1,2,2,1,2,2,2,2,4,1,1,5,2
2,19,1,1,3,1,3,2,2,2,2,1,3,4,2
2,17,1,1,3,3,3,2,2,2,1,2,1,4,2
2,15,1,1,3,3,2,2,1,2,4,3,1,5,4
2,17,1,2,2,3,3,2,2,2,2,2,1,4,3
1,23,1,1,2,3,2,2,2,2,2,2,2,4,2
2,19,1,2,3,3,3,1,3,2,3,2,2,1,3
2,23,1,1,2,3,3,1,2,2,1,3,1,5,3
1,23,1,1,1,3,3,2,2,2,1,3,3,4,3
1,21,1,2,3,4,3,2,1,2,2,1,1,5,1
1,24,1,1,3,1,2,2,2,2,2,1,1,4,2
1,23,2,1,3,3,2,2,1,2,1,1,1,4,3
1,18,1,1,2,3,4,2,2,2,1,1,3,4,3
1,19,2,1,2,3,2,2,2,2,2,1,2,4,2
2,19,2,1,3,1,2,2,3,1,2,1,2,4,2
1,20,1,1,3,3,3,2,1,2,1,1,2,4,2
1,27,2,1,3,3,2,2,3,2,2,2,3,4,3
2,20,1,1,2,4,3,2,2,2,2,2,1,4,2
1,23,2,2,2,3,2,2,1,2,2,1,1,4,2
2,19,1,1,3,3,3,1,3,1,2,3,3,4,2
2,61,2,1,3,3,4,2,2,2,2,2,3,4,2
1,30,1,1,3,3,2,2,1,2,3,1,2,1,4
1,24,1,1,2,3,2,2,2,2,2,1,2,1,3
1,25,1,1,2,3,2,2,2,2,2,2,2,4,2
1,44,1,2,2,3,2,1,3,2,1,1,1,2,4
1,31,1,2,3,3,4,2,3,1,4,1,1,3,2
1,25,2,1,2,3,3,2,2,2,1,2,1,4,2
1,23,1,1,3,3,3,2,3,2,2,2,2,4,1
1,25,2,1,3,3,4,2,2,2,3,1,3,4,2
1,23,2,1,2,3,3,1,1,2,2,2,3,1,4
2,34,2,1,3,1,2,2,1,2,1,1,2,1,3
1,22,1,2,2,4,2,2,3,1,3,3,2,4,3
1,21,2,1,2,1,1,2,3,2,2,1,2,4,3
2,24,2,2,3,3,3,2,2,2,3,3,3,4,2
2,36,1,2,3,3,2,2,1,2,1,1,2,1,4
2,27,2,1,3,3,4,2,2,2,1,1,2,1,2
2,32,1,1,3,1,2,2,2,2,3,1,2,1,4
1,25,1,1,2,1,2,2,2,2,3,2,2,4,2
2,30,1,1,3,3,2,2,2,2,3,1,2,1,2
2,38,1,1,2,1,4,1,2,2,1,1,2,1,3
1,34,1,2,2,3,2,2,3,2,3,1,1,1,3
1,22,1,1,2,3,2,2,2,2,1,1,2,4,4
2,31,1,1,3,1,3,2,2,2,2,2,2,1,2
2,35,1,2,3,3,3,2,1,2,1,2,1,1,2
1,21,1,1,2,3,3,2,2,2,3,2,2,4,2
2,40,1,2,3,3,2,2,3,2,1,1,2,1,3
1,27,1,1,2,1,2,2,2,2,1,1,3,1,3
1,20,1,2,3,3,2,1,1,2,3,2,2,4,2
1,55,2,1,2,3,2,2,2,2,2,1,1,1,3
2,21,1,1,3,3,4,1,2,2,3,1,2,4,2
1,25,2,2,3,3,3,2,2,1,4,1,1,4,2
1,35,1,2,3,3,3,2,3,2,3,2,2,1,3
1,30,1,2,2,3,2,1,1,2,2,1,2,4,5
2,29,1,2,3,3,4,2,2,2,1,1,2,1,2
1,20,1,2,2,3,2,2,2,2,2,3,1,5,3
2,22,1,1,2,1,2,2,2,2,2,1,2,4,3
2,45,1,1,2,3,3,2,1,2,1,1,1,1,3
1,22,2,1,2,1,2,2,2,2,3,2,2,4,3
1,18,1,1,2,3,3,2,2,2,2,1,2,4,2
2,23,2,2,3,1,2,2,2,2,2,3,2,4,2
1,18,2,2,3,3,2,2,2,1,1,2,1,4,2
1,21,2,1,2,1,1,2,3,2,2,1,2,4,3
2,38,1,1,2,3,2,2,2,2,3,1,1,4,2
2,18,1,1,3,1,4,2,1,2,2,1,1,4,2
1,22,1,1,3,3,3,2,2,1,4,1,2,4,2
1,26,1,1,3,3,3,1,2,2,3,3,3,4,2
1,21,2,1,2,1,1,2,3,2,2,1,2,4,3
2,18,2,1,2,3,2,2,2,2,2,1,1,4,2
2,23,1,1,2,3,3,2,1,2,1,1,2,4,2
2,22,2,1,3,3,3,2,2,2,1,2,1,4,1
2,23,1,1,2,1,2,1,1,2,1,1,2,4,3
1,21,2,1,2,1,1,2,3,2,2,1,2,4,3
2,31,2,2,3,3,2,2,2,2,2,1,2,1,3
1,39,1,2,2,3,2,2,3,2,2,1,3,1,4
1,25,1,2,2,3,2,2,3,2,4,3,1,4,4
1,35,1,1,3,1,1,2,3,2,4,2,3,1,4
2,33,1,1,2,3,2,2,2,2,2,2,1,4,2
1,20,2,1,2,3,2,2,2,2,2,1,2,4,2
1,26,1,1,3,1,3,1,2,1,3,1,2,4,3
1,20,1,2,3,3,2,2,3,1,4,1,2,1,3
1,20,2,2,2,1,3,2,3,1,3,2,1,4,2
2,23,1,1,3,3,3,2,3,2,4,1,1,4,4
1,19,1,1,3,3,2,2,2,2,2,2,2,5,3
1,22,1,2,2,3,2,2,2,2,2,3,2,3,2
1,41,1,1,2,3,2,2,2,2,1,1,2,3,5
2,18,1,1,2,1,3,2,1,2,1,3,1,4,1
2,23,1,1,2,1,2,2,1,2,2,2,2,4,2
2,23,1,2,3,1,2,1,3,2,2,3,2,4,4
2,41,1,1,2,3,4,2,1,2,1,1,2,1,4
2,26,1,1,3,3,2,1,1,2,1,2,2,4,6
1,29,1,2,2,3,2,2,3,2,2,1,2,1,4
1,27,1,1,2,3,2,2,2,2,4,3,1,1,2
2,23,1,1,2,1,2,1,2,2,2,1,3,4,4
1,19,1,1,2,3,3,2,2,2,3,1,1,4,4
1,30,1,2,2,3,1,2,2,1,2,1,2,5,2
2,22,1,1,2,3,2,2,2,2,2,2,2,4,2
2,22,1,1,2,3,2,2,2,2,2,2,2,4,2
1,20,1,1,2,3,3,2,2,2,1,2,1,4,5
2,21,2,1,2,1,2,2,1,2,2,2,1,4,2
2,24,1,2,2,1,2,2,2,2,1,1,1,4,3
1,21,1,1,3,3,2,2,2,2,2,1,1,4,2
1,21,1,1,2,3,2,2,2,2,2,1,2,4,2
1,21,1,1,3,3,2,2,3,2,1,3,2,4,2
2,23,1,2,3,3,3,2,2,2,4,1,2,5,2
1,21,2,2,2,3,3,2,3,1,4,2,3,1,3
2,21,1,2,1,1,2,2,2,2,4,1,1,4,2
2,21,1,1,2,3,2,2,3,2,2,1,2,4,3
2,21,1,2,2,3,3,2,2,1,1,3,3,4,3
1,23,1,1,2,1,2,2,1,2,2,2,2,4,3
2,21,1,1,3,4,4,2,3,2,1,3,1,4,2
2,22,1,1,3,3,3,2,3,2,2,1,1,4,2
2,23,1,1,2,1,2,2,2,2,1,1,1,4,4
1,25,1,2,3,3,2,2,3,2,3,1,2,5,5
2,20,2,1,2,3,2,2,1,2,1,2,1,1,2
2,24,2,1,3,3,2,2,2,2,2,2,2,4,2
2,40,2,2,3,3,2,2,3,2,1,1,1,1,3
1,32,1,2,3,3,2,2,3,2,1,3,1,1,5
1,20,1,1,3,4,2,2,3,2,3,1,2,5,3
2,21,1,1,3,1,2,1,3,2,1,1,2,4,2
2,51,1,2,3,3,2,1,3,1,3,1,1,4,2
2,34,1,2,3,1,2,2,2,2,2,1,2,1,3
2,19,1,1,2,1,1,2,2,2,3,1,1,4,2
2,19,1,2,2,1,1,2,2,2,3,1,1,4,2
2,21,2,1,1,3,4,2,2,1,4,1,1,1,2
2,19,1,1,3,3,2,2,1,2,2,2,1,4,2
2,20,2,1,3,1,2,2,3,2,2,2,1,4,2
2,19,1,1,3,3,1,2,3,1,4,2,1,4,2
2,17,2,1,2,1,2,2,3,2,2,2,1,4,2
1,22,2,1,3,3,2,2,2,2,4,1,1,3,3
2,20,1,1,1,3,4,2,2,2,1,3,1,1,2
1,33,1,1,2,3,2,1,3,2,2,1,2,1,3
2,21,1,2,2,1,2,2,2,1,3,1,2,4,2
2,20,2,2,3,3,2,1,2,2,3,2,2,1,1
2,20,2,1,3,3,2,2,3,2,1,2,2,4,2
2,20,2,1,3,3,3,2,1,2,4,2,1,1,2
1,21,1,1,3,3,4,2,3,1,4,1,2,1,2
1,21,1,1,3,1,2,2,2,2,4,1,2,5,3
2,20,1,1,3,1,2,2,2,2,2,2,1,4,3
1,20,1,2,2,1,2,2,3,2,1,1,3,1,3
1,56,1,2,2,3,2,1,2,2,2,1,3,1,3
2,26,1,1,2,1,2,2,2,2,1,3,2,4,2
2,22,1,2,3,3,2,2,2,2,1,1,1,4,2
1,19,1,2,1,3,2,2,2,2,4,1,1,3,3
1,18,1,2,2,3,2,2,3,2,2,1,2,4,3
1,19,2,2,2,3,2,2,3,1,2,3,1,4,4
1,18,2,2,3,1,2,2,1,2,2,1,1,4,3
2,18,1,1,1,3,3,2,1,2,1,2,2,4,4
1,21,2,1,2,3,2,2,1,2,2,1,1,4,3
2,28,1,2,2,3,3,2,2,1,3,1,2,5,3
1,18,2,1,2,3,2,2,2,2,2,2,2,4,2
1,23,2,1,2,3,3,2,1,2,4,3,1,4,1
1,18,1,1,3,3,3,2,3,1,2,2,2,1,2
1,18,2,1,1,3,3,2,1,2,3,2,2,4,1
2,39,2,1,3,4,3,2,2,2,1,1,2,4,1
1,38,2,1,3,3,3,2,2,2,1,1,3,1,3
1,17,2,2,2,4,4,2,2,2,1,3,1,4,2
1,23,1,1,2,3,2,2,2,2,1,2,2,5,2
1,23,2,1,2,3,2,2,3,2,1,2,2,4,4
2,19,2,1,2,3,3,2,1,2,1,3,2,4,2
1,18,2,1,2,3,2,2,2,2,3,2,1,4,2
1,25,1,1,2,3,3,2,2,2,1,1,2,2,2
2,25,2,2,2,3,2,2,1,2,3,2,2,4,2
2,18,1,1,3,3,3,2,2,2,1,2,2,4,2
1,16,1,1,2,1,3,2,3,2,2,1,1,4,1
1,21,2,1,2,4,4,1,3,2,4,3,2,5,2
2,32,1,1,3,3,2,2,2,2,1,1,2,1,2
1,18,2,2,3,3,2,2,2,2,2,2,2,4,1
1,21,2,1,3,4,3,1,2,2,1,1,2,4,2
1,18,1,1,2,3,3,2,2,2,1,1,2,4,2
2,18,1,1,2,3,3,2,1,2,2,2,1,4,2
1,17,2,2,2,3,2,2,3,2,3,2,2,5,2
1,20,1,1,1,1,2,2,2,2,2,2,2,4,2
1,21,1,1,2,3,4,2,1,2,1,1,2,4,4
2,21,2,1,2,3,2,2,1,2,2,2,2,4,2
2,18,1,1,2,3,2,2,3,2,4,1,1,4,2
2,17,2,1,3,3,2,2,1,2,1,3,1,4,2
1,19,2,2,2,3,2,2,3,2,4,1,2,1,2
1,16,1,1,2,3,3,2,2,2,3,2,2,4,2
1,17,2,1,2,3,3,2,2,2,3,2,1,5,1
1,21,1,1,2,3,3,2,1,2,2,2,1,4,2
1,19,1,2,2,3,3,2,2,2,2,1,1,4,2
1,18,1,1,2,1,2,1,2,2,2,3,2,4,4
2,16,2,2,2,1,2,2,1,2,1,2,1,5,2
2,21,2,1,3,3,2,2,2,2,3,2,2,4,2
1,26,2,2,2,3,2,2,2,2,3,1,1,1,3
1,18,1,1,2,3,3,2,1,2,1,2,3,4,2
1,23,2,1,3,3,2,2,3,2,2,3,2,4,3
1,26,2,1,2,3,2,1,1,2,1,1,2,4,2
1,18,2,1,2,4,2,2,2,2,3,2,2,4,2
1,16,1,1,3,3,4,2,3,2,4,3,2,5,1
2,16,2,1,2,4,4,2,2,2,1,2,2,4,2
1,20,1,2,2,3,2,2,3,2,3,2,2,4,3
1,23,1,1,2,3,2,1,2,2,3,2,2,4,5
2,24,1,1,1,3,4,2,2,2,1,3,2,4,2
2,23,1,1,2,1,3,2,1,2,1,3,2,4,2
1,20,2,1,3,4,4,2,3,2,3,1,2,4,2
2,16,2,2,2,1,2,2,1,2,1,2,1,5,2
1,17,1,1,2,4,3,2,2,2,3,2,1,4,1
1,17,2,1,2,3,4,2,2,2,4,2,1,4,2
2,16,2,1,3,3,2,2,1,2,4,1,1,4,2
1,17,1,1,1,3,4,2,2,2,2,2,2,4,2
2,26,2,1,3,3,2,2,1,2,2,1,1,5,2
1,26,2,1,2,3,4,2,2,2,1,1,2,4,2
1,38,1,2,3,3,3,2,1,2,3,2,1,1,2
1,18,2,1,3,4,2,2,2,2,2,2,1,4,2
2,25,2,1,2,3,2,2,1,2,1,1,2,4,2
2,27,2,1,2,3,2,2,1,2,1,2,2,1,3
1,21,1,1,3,1,4,2,2,2,2,2,1,4,2
1,38,1,2,3,3,3,2,1,2,4,2,1,1,2
2,23,2,2,3,3,3,2,2,2,3,1,2,4,1
1,18,1,1,2,3,2,2,2,2,4,1,2,1,2
2,30,1,1,2,3,2,2,1,2,1,1,2,4,3
2,21,2,1,2,1,2,2,1,2,2,1,2,4,2
1,18,1,1,3,3,2,2,2,2,4,1,2,4,2
1,23,1,2,3,4,3,2,1,2,1,1,2,4,3
1,19,1,2,3,1,2,2,3,2,4,2,2,5,2
2,19,1,1,3,3,2,2,1,2,1,2,2,4,4
2,17,2,1,3,4,3,2,1,2,3,2,2,4,1
1,17,1,1,2,3,2,2,2,2,3,2,1,4,2
1,27,1,1,2,1,2,2,2,2,2,1,1,5,2
2,23,2,2,3,4,4,2,3,1,4,1,1,1,2
2,18,2,1,2,3,3,2,2,1,2,3,3,4,3
1,19,2,1,1,4,3,2,1,2,3,2,2,4,1
1,20,2,1,2,3,2,2,2,2,1,2,1,4,2
1,18,1,1,3,3,3,2,2,2,4,3,1,5,2
2,17,2,1,3,1,2,2,2,1,2,3,2,4,3
2,19,2,2,2,3,2,2,1,1,3,1,3,4,1
1,21,2,1,3,3,2,2,2,2,2,2,1,4,2
1,20,2,2,2,3,2,2,1,2,1,1,2,4,2
1,23,1,1,3,3,2,2,2,2,2,1,2,4,4
1,23,2,2,3,3,2,2,2,2,4,1,1,4,2
1,18,1,1,3,3,3,2,2,2,3,2,2,4,6
1,17,2,1,3,3,4,2,2,2,4,2,2,4,2
2,21,1,2,3,3,4,2,1,2,3,1,1,4,2
1,17,1,1,2,3,2,2,3,2,2,2,2,5,3
1,18,1,1,2,3,2,2,2,2,4,3,1,5,2
1,20,1,1,2,3,4,2,3,2,2,2,2,4,4
1,17,1,2,2,3,2,2,1,2,4,3,2,5,2
2,26,2,2,3,4,4,2,2,2,3,1,1,5,2
2,17,2,1,1,3,2,2,1,2,3,3,2,5,2
2,24,1,1,1,3,2,2,2,2,1,2,2,1,2
2,17,2,1,2,3,2,2,2,2,2,3,1,4,2
2,27,2,1,3,1,2,2,1,2,2,1,2,4,3
1,17,2,2,3,3,2,2,2,2,4,2,1,5,1
2,17,1,1,1,3,2,2,1,2,2,2,1,1,2
1,41,1,2,2,1,2,2,1,2,2,1,3,1,5
2,33,1,2,2,3,2,2,2,2,2,1,2,4,2
1,20,2,1,2,3,3,2,1,2,2,2,2,4,2
2,40,1,1,2,1,2,2,2,2,3,1,1,4,4
2,37,1,2,3,3,2,2,2,2,2,1,2,1,3
1,19,2,1,2,1,2,2,2,2,3,2,2,4,2
1,24,1,1,2,1,4,2,2,2,3,2,2,4,3
1,24,2,1,3,3,2,2,2,2,1,1,2,2,2
1,33,1,1,2,1,2,2,2,2,4,1,2,1,3
2,40,2,1,2,3,3,2,2,2,4,2,2,4,3
2,37,1,1,2,1,2,2,2,2,1,1,1,1,3
1,20,2,2,3,3,3,2,2,2,4,2,2,4,3
1,19,2,1,2,3,2,2,1,2,2,2,1,4,2
1,17,1,1,3,1,4,2,2,1,2,3,2,4,3
2,18,2,1,3,3,2,2,1,2,1,3,1,1,2
2,21,2,1,2,1,2,2,2,2,1,3,2,4,2
1,18,1,1,2,4,3,2,2,2,3,2,2,1,2
1,41,1,1,2,1,3,2,3,2,2,1,2,1,3
2,36,1,2,3,3,2,2,1,2,3,1,2,1,2
1,18,2,2,2,4,3,2,2,2,2,2,2,4,2
1,18,2,1,3,3,3,2,1,2,3,2,2,4,2
1,17,1,1,3,3,2,2,2,2,1,3,2,5,2
1,25,2,1,3,3,2,2,3,1,4,1,1,2,3
1,21,1,1,3,3,3,2,1,2,3,1,2,4,2
2,29,1,2,2,3,3,2,1,2,1,2,2,4,2
1,17,1,2,2,3,2,2,2,2,1,2,2,1,4
2,18,1,1,3,1,2,2,1,1,1,3,1,5,2
2,16,2,1,2,3,3,2,2,2,2,2,1,4,2
2,18,2,2,1,3,2,2,1,2,2,3,1,4,2
2,37,1,1,2,3,3,2,1,2,1,1,2,2,4
1,18,1,2,2,3,2,2,3,2,2,1,1,4,4
2,16,1,1,1,1,2,2,2,2,1,1,1,4,3
1,23,1,1,2,3,4,2,3,2,1,3,1,4,1
2,18,2,2,2,3,2,2,2,2,1,2,2,5,1
1,18,2,2,3,3,3,2,3,2,3,3,1,4,2
1,18,2,1,1,3,2,2,2,2,1,2,2,4,3
2,17,1,1,2,3,2,2,1,2,1,2,1,4,2
2,20,1,1,1,3,2,2,2,2,4,3,2,4,1
2,38,1,2,3,3,2,2,1,2,3,2,3,1,2
1,20,2,1,2,4,3,2,3,2,1,1,1,4,2
1,21,1,1,3,1,4,2,1,2,1,1,2,4,5
1,21,2,2,3,1,3,2,1,2,1,1,2,2,2
1,18,1,2,2,3,2,2,2,2,1,1,1,4,3
1,26,2,1,2,3,4,2,2,2,2,2,2,4,2
1,27,1,1,3,1,3,2,2,2,3,2,2,5,3
2,26,1,2,3,3,2,2,3,2,1,1,1,1,6
1,34,2,1,2,3,2,2,2,2,4,2,2,1,2
1,18,2,2,3,3,2,2,2,2,4,1,1,4,3
1,33,2,2,2,3,2,2,2,2,4,2,2,1,2
2,19,1,1,3,3,3,2,1,2,2,3,2,5,3
1,20,1,2,3,1,2,2,2,2,1,1,2,4,2
2,33,1,1,3,1,2,2,3,2,3,2,2,4,2
1,20,2,2,2,3,2,2,2,2,2,2,1,4,2
2,20,2,2,3,3,2,2,2,1,1,1,2,4,3
1,33,2,1,2,3,3,2,2,2,2,1,2,1,2
1,33,2,2,2,3,2,2,2,1,2,1,2,4,3
1,33,1,1,2,1,4,2,2,2,2,3,3,1,4
1,14,1,1,3,3,2,2,3,2,3,2,1,5,2
1,34,2,1,3,3,2,2,1,1,3,1,1,1,3
1,18,1,1,3,3,2,2,2,2,2,2,3,4,3
1,18,2,1,3,3,2,2,2,2,3,1,2,4,4
1,29,1,1,1,3,2,2,1,2,1,1,2,4,4
1,18,1,1,3,4,2,2,2,1,3,1,2,1,1
1,18,1,1,3,4,2,2,2,1,3,1,2,1,1
1,19,2,1,2,3,2,2,2,2,3,1,2,3,2
1,33,1,1,2,3,2,2,1,2,2,2,2,5,3
1,33,2,2,2,3,2,2,1,2,1,3,2,5,3
2,19,1,1,2,3,4,2,2,2,3,2,2,4,2
1,22,2,2,2,3,2,2,3,2,2,2,1,4,2
2,20,2,1,3,3,1,2,2,2,4,1,2,4,2
1,23,2,1,3,1,3,2,1,2,3,2,2,4,2
1,26,1,1,2,3,3,2,1,1,2,1,2,1,2
1,18,2,1,2,3,2,2,1,2,2,1,2,4,4
2,18,2,1,2,4,3,2,2,2,3,2,2,4,2
1,19,2,1,3,3,3,2,1,2,3,1,1,4,2
2,18,1,1,2,3,2,2,1,2,2,2,2,4,2
1,19,2,1,2,4,3,2,2,2,4,2,3,1,2
2,19,1,1,2,1,2,2,3,2,4,2,1,4,3
2,18,2,1,2,3,2,2,1,2,1,1,3,1,2
2,18,1,1,2,1,4,2,2,2,2,1,2,5,2
2,19,2,1,3,3,2,2,2,2,3,2,2,1,2
2,19,2,1,2,3,3,2,2,2,1,2,2,4,2
2,18,2,1,2,3,2,2,1,2,1,1,1,1,2
2,18,1,1,3,3,3,2,1,2,2,3,1,4,2
1,26,1,1,2,3,2,2,2,2,1,2,2,5,2
1,18,1,1,2,3,2,2,2,2,1,3,2,4,1
1,19,1,1,2,1,2,2,2,2,3,1,2,4,2
2,19,2,1,2,4,2,2,1,2,4,1,2,4,2
1,19,1,1,3,3,3,2,2,2,3,1,2,4,2
1,19,1,1,2,4,2,2,2,2,3,2,2,4,3
2,24,1,1,3,1,2,2,1,2,1,3,2,4,5
2,18,1,1,1,3,2,2,2,2,3,3,2,4,2
1,19,2,1,3,3,2,2,2,2,2,2,2,4,2
1,19,1,2,2,3,3,2,2,2,2,1,1,4,2
1,23,2,2,3,3,1,2,2,2,3,2,2,1,2
2,18,2,1,3,3,2,2,1,2,1,1,2,1,2
2,20,2,1,3,1,2,2,1,2,2,1,1,4,2
1,18,2,1,2,3,3,2,1,2,2,2,2,4,2
2,33,2,1,3,1,3,2,2,2,1,1,1,4,2
2,19,2,1,2,3,2,2,1,2,1,1,2,4,2
1,19,2,1,2,3,4,2,1,2,2,2,2,4,2
1,19,1,1,2,3,3,2,3,2,2,3,3,4,3
